Project_ID,Organization,Short_project_description,Year_technical_go_live,Organisation_profile,Business_domain,Development_method,Primary_programming_language,Development_class,Functional_size_FP,Actual_duration_months,Actual_cost_EUR,Release_based_working,Once_only_project,Multi_application_release,Phased_project,Dependencies_with_other_applications,Single_application,Migration_project,Problems_with_external_supplier,Security_related_project,Package_of_the_shelf,Package_with_customization,Steady_heartbeat,Fixed_experienced_team,Many_team_changes_unexperienced_team,Legacy_application,Technology_driven_project,Rules_and_regulations_driven_project,Business_driven_project,Pilot_or_proof_of_concept
292.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2011-08 (August),2011.0,Banking,Finance & Risk,Plan-driven,ORACLE,Major Enhancement (25-75% new),52.0,2.5,49730.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
296.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2011-12 (December),2012.0,Banking,Finance & Risk,Plan-driven,ORACLE,Minor Enhancement (5-25% new),30.0,2.48,29360.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
290.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-A Release 2012-07 (July),2012.0,Banking,Finance & Risk,Scrum,ORACLE,Major Enhancement (25-75% new),32.0,2.48,41140.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
279.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-A Release 2011-08 (August),2011.0,Banking,Finance & Risk,Plan-driven,ORACLE,New Development,22.0,2.5,41790.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
282.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-A Release 2011-11 (November),2011.0,Banking,Finance & Risk,Plan-driven,ORACLE,New Development,31.0,2.48,41370.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
283.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-A Release 2011-12 (December),2012.0,Banking,Finance & Risk,Plan-driven,ORACLE,New Development,47.0,2.48,29360.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
284.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-A Release 2012-01 (January),2012.0,Banking,Finance & Risk,Scrum,ORACLE,New Development,16.0,2.54,49270.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
287.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-A Release 2012-04 (April),2012.0,Banking,Finance & Risk,Scrum,ORACLE,New Development,13.0,2.48,18230.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
291.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-A Release 2012-08 (August),2012.0,Banking,Finance & Risk,Scrum,ORACLE,New Development,55.0,2.5,31880.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
293.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2011-09 (September),2011.0,Banking,Finance & Risk,Plan-driven,ORACLE,Major Enhancement (25-75% new),28.0,2.48,33100.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
